id,url,region,region_url,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
7039061606,https://bham.craigslist.org/apa/d/birmingham-huge-three-bedroom-among-the/7039061606.html,birmingham,https://bham.craigslist.org,1195,apartment,1908,3,2,1,1,1,0,0,0,laundry on site,street parking,https://images.craigslist.org/00L0L_80pNkyDeG0y_600x450.jpg,"Apartments In Birmingham AL Welcome to 100 Inverness Apartment Homes, a luxury apartment community tucked away into one of the most coveted locations in the city for Birmingham apartments. Find stylish one-, two-, and three-bedroom apartment floor plans tailored to your wants and needs, complete with the amenities that are important to you. Our layouts come with just enough variety to enable you to make it your own haven unlike any other. Get inspired by our photos and the serenity of the nature surrounding you to let your aesthetic come together with our stylish, modern designs for a home you wonât be able to wait to show off to your guests. Even beyond style, our pet-friendly apartment community is also all about functionality! Some of our homes come with washer and dryer hookups, wood burning fireplaces, hardwood floors, and a private patio or balcony. All of our residents can make use of oversized walk-in closets, air conditioning, garages, a business center, on-site management and maintenance, a laundry facility, and more. Play a game or two of tennis at our tennis courts, take a dip in the pool at one of our pools, or try out the new grilling and picnic area! Make apartment life easier and take advantage of our online payment options, short term lease options, and valet trash services. Use our package receiving services for those out-of-town (or simply busy) days and know that we are here to support you and make your time in our pet-friendly apartment community a breeze. With charming homes and an alluring location near transportation options and shopping, dining, and entertainment hotspots, 100 Inverness Apartment Homes is an ideal place for anyone looking for the very best in a community that values each resident. Contact us or stop by to schedule a tour so you can learn more about our apartment community. We look forward to meeting you!  -Night Patrol -110 Acre Stocked Lake -2 Sparkling Swimming Pools -Washer/ Dryer Hookup (Select Units) -Cable Ready -Range -Individual Climate Control -Wood Burning Fireplaces In Select Units  Call:  show contact info   PET FRIENDLY, SPORTS BARS CLOSE BY FOR THE SPORT FANATICS, HOMEDEPOT, GRANDVIEW HOSPITAL, MODERN LAUNDRY FACILITIES, GOLDS GYM, SHOPPING AND DINING LESS THAN 5 MINUTES AWAY, PLANET FITNESS LESS THAN 5 MINUTES AWAY, JEFF STATE COLLEGE LESS THAN 10 MINUTES AWAY, OAK MOUNTAIN SCHOOL DISTRICT THAT INCLUDE (INVERNESS ELEMENTARY AND MIDDLE), BARK PARK, SPAIN PARK, 110 ACRE STOCKED FISHING LAKE, LAKE AND WOODED VIEWS, URGENT CARES NEARBY",33.4226,-86.7065,al
7041970863,https://bham.craigslist.org/apa/d/birmingham-window-covering-dishwasher/7041970863.html,birmingham,https://bham.craigslist.org,1120,apartment,1319,3,2,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00707_uRrY9CsNMC_600x450.jpg,"Find Your Way to Haven Apartment Homes Come home to Haven Apartment Homes and enjoy a new way of life! At The Haven, youâll find unique one, two, and three bedroom apartment homes with lush landscaping in a private neighborhood setting that offers beauty, style, and convenience. The community is located in the award winning Hoover School System and just minutes away from downtown Birmingham. Residents enjoy easy access to Riverchase Galleria, Patton Creek Shopping Center, and freeways such as I-459, I-65, and HWY 150. Haven Apartment Homes is a pet friendly community, welcoming both cats and dogs with only a few breed restrictions.  -On-site Maintenance -Accepts Electronic Payments -Disability Access -Package Receiving -Patio -Playground -Accept Credit Card Payments -On-site Management  Call:  show contact info",33.3755,-86.8045,al
7041966914,https://bham.craigslist.org/apa/d/birmingham-garages-for-rent-at-100/7041966914.html,birmingham,https://bham.craigslist.org,825,apartment,1133,1,1.5,1,1,1,0,0,0,laundry on site,street parking,https://images.craigslist.org/00h0h_b7Bdj1NLBie_600x450.jpg,"Apartments In Birmingham AL Welcome to 100 Inverness Apartment Homes, a luxury apartment community tucked away into one of the most coveted locations in the city for Birmingham apartments. Find stylish one-, two-, and three-bedroom apartment floor plans tailored to your wants and needs, complete with the amenities that are important to you. Our layouts come with just enough variety to enable you to make it your own haven unlike any other. Get inspired by our photos and the serenity of the nature surrounding you to let your aesthetic come together with our stylish, modern designs for a home you wonât be able to wait to show off to your guests. Even beyond style, our pet-friendly apartment community is also all about functionality! Some of our homes come with washer and dryer hookups, wood burning fireplaces, hardwood floors, and a private patio or balcony. All of our residents can make use of oversized walk-in closets, air conditioning, garages, a business center, on-site management and maintenance, a laundry facility, and more. Play a game or two of tennis at our tennis courts, take a dip in the pool at one of our pools, or try out the new grilling and picnic area! Make apartment life easier and take advantage of our online payment options, short term lease options, and valet trash services. Use our package receiving services for those out-of-town (or simply busy) days and know that we are here to support you and make your time in our pet-friendly apartment community a breeze. With charming homes and an alluring location near transportation options and shopping, dining, and entertainment hotspots, 100 Inverness Apartment Homes is an ideal place for anyone looking for the very best in a community that values each resident. Contact us or stop by to schedule a tour so you can learn more about our apartment community. We look forward to meeting you!  -Balcony -Oversized walk-in closets -Private Balcony -Faux Wood Blinds -Cable Ready -Business Center -Washer/ Dryer Hookup (Select Units) -Faux Hardwood Flooring  Call:  show contact info   YMCA, NEARBY CITIES HOOVER, CHELSEA,CALERA, PELHAM, KAYAK STORAGE ON SITE, SPAIN PARK, PET GROOMING LESS THAN 5 MINUTES AWAY, PET FRIENDLY, HOMEDEPOT, URGENT CARES NEARBY, MODERN LAUNDRY FACILITIES, ST VINCENT HOSPITAL, FISHING AND BOATING PERMIT AVAILABLE ON SITE, GOLDS GYM, PLANET FITNESS LESS THAN 5 MINUTES AWAY, OAK MOUNTAIN SCHOOL DISTRICT THAT INCLUDE (INVERNESS ELEMENTARY AND MIDDLE), WRAP AROUND FISHING DECK",33.4226,-86.7065,al
7041966936,https://bham.craigslist.org/apa/d/birmingham-find-you-way-find-you-home/7041966936.html,birmingham,https://bham.craigslist.org,800,apartment,927,1,1,1,1,1,0,0,0,laundry on site,street parking,https://images.craigslist.org/00808_6ghZ8tSRQsD_600x450.jpg,"Apartments In Birmingham AL Welcome to 100 Inverness Apartment Homes, a luxury apartment community tucked away into one of the most coveted locations in the city for Birmingham apartments. Find stylish one-, two-, and three-bedroom apartment floor plans tailored to your wants and needs, complete with the amenities that are important to you. Our layouts come with just enough variety to enable you to make it your own haven unlike any other. Get inspired by our photos and the serenity of the nature surrounding you to let your aesthetic come together with our stylish, modern designs for a home you wonât be able to wait to show off to your guests. Even beyond style, our pet-friendly apartment community is also all about functionality! Some of our homes come with washer and dryer hookups, wood burning fireplaces, hardwood floors, and a private patio or balcony. All of our residents can make use of oversized walk-in closets, air conditioning, garages, a business center, on-site management and maintenance, a laundry facility, and more. Play a game or two of tennis at our tennis courts, take a dip in the pool at one of our pools, or try out the new grilling and picnic area! Make apartment life easier and take advantage of our online payment options, short term lease options, and valet trash services. Use our package receiving services for those out-of-town (or simply busy) days and know that we are here to support you and make your time in our pet-friendly apartment community a breeze. With charming homes and an alluring location near transportation options and shopping, dining, and entertainment hotspots, 100 Inverness Apartment Homes is an ideal place for anyone looking for the very best in a community that values each resident. Contact us or stop by to schedule a tour so you can learn more about our apartment community. We look forward to meeting you!  -Spacious Floor Plans -Washer/Dryer -Dishwasher -Private Balcony -Tennis Courts -On-Site Maintenance -Cable Ready -Handrails  Call:  show contact info   PLANET FITNESS LESS THAN 5 MINUTES AWAY, ADJACENT TO 280, JEFF STATE COLLEGE LESS THAN 10 MINUTES AWAY, NEARBY CITIES HOOVER, CHELSEA,CALERA, PELHAM, GRANDVIEW HOSPITAL, SPORTS BARS CLOSE BY FOR THE SPORT FANATICS, 110 ACRE STOCKED FISHING LAKE, YMCA, TWO SPARKLING SWIMMING POOLS, BEAUTIFULLY  UPDATED CLUB HOUSE, KAYAK STORAGE ON SITE, BLACK APPLIANCES, ST VINCENT HOSPITAL, SHOPPING AND DINING LESS THAN 5 MINUTES AWAY, EASY 459 ACCESS",33.4226,-86.7065,al
7041966888,https://bham.craigslist.org/apa/d/birmingham-2-sparkling-swimming-pool-at/7041966888.html,birmingham,https://bham.craigslist.org,785,apartment,1047,2,1,1,1,1,0,0,0,laundry on site,street parking,https://images.craigslist.org/00y0y_21c0FOvUXmd_600x450.jpg,"Apartments In Birmingham AL Welcome to 100 Inverness Apartment Homes, a luxury apartment community tucked away into one of the most coveted locations in the city for Birmingham apartments. Find stylish one-, two-, and three-bedroom apartment floor plans tailored to your wants and needs, complete with the amenities that are important to you. Our layouts come with just enough variety to enable you to make it your own haven unlike any other. Get inspired by our photos and the serenity of the nature surrounding you to let your aesthetic come together with our stylish, modern designs for a home you wonât be able to wait to show off to your guests. Even beyond style, our pet-friendly apartment community is also all about functionality! Some of our homes come with washer and dryer hookups, wood burning fireplaces, hardwood floors, and a private patio or balcony. All of our residents can make use of oversized walk-in closets, air conditioning, garages, a business center, on-site management and maintenance, a laundry facility, and more. Play a game or two of tennis at our tennis courts, take a dip in the pool at one of our pools, or try out the new grilling and picnic area! Make apartment life easier and take advantage of our online payment options, short term lease options, and valet trash services. Use our package receiving services for those out-of-town (or simply busy) days and know that we are here to support you and make your time in our pet-friendly apartment community a breeze. With charming homes and an alluring location near transportation options and shopping, dining, and entertainment hotspots, 100 Inverness Apartment Homes is an ideal place for anyone looking for the very best in a community that values each resident. Contact us or stop by to schedule a tour so you can learn more about our apartment community. We look forward to meeting you!  -24-Hour Fitness Center -24-Hour Availability -Disposal -Clubhouse -Package Receiving -Wood Burning Fireplaces In Select Units -Pets Allowed -Night Patrol  Call:  show contact info   ADJACENT TO 280, URGENT CARES NEARBY, PLANET FITNESS LESS THAN 5 MINUTES AWAY, FISHING AND BOATING PERMIT AVAILABLE ON SITE, MODERN LAUNDRY FACILITIES, NEARBY CITIES HOOVER, CHELSEA,CALERA, PELHAM, SPORTS BARS CLOSE BY FOR THE SPORT FANATICS, SHOPPING AND DINING LESS THAN 5 MINUTES AWAY, JEFF STATE COLLEGE LESS THAN 10 MINUTES AWAY, WRAP AROUND FISHING DECK, 110 ACRE STOCKED FISHING LAKE, HOMEDEPOT, BARK PARK, SPAIN PARK, PET GROOMING LESS THAN 5 MINUTES AWAY",33.4226,-86.7065,al
7041966868,https://bham.craigslist.org/apa/d/birmingham-slide-into-savings-at-100/7041966868.html,birmingham,https://bham.craigslist.org,900,apartment,1298,2,2,1,1,1,0,0,0,laundry on site,street parking,https://images.craigslist.org/00606_g79izH5xxkX_600x450.jpg,"Apartments In Birmingham AL Welcome to 100 Inverness Apartment Homes, a luxury apartment community tucked away into one of the most coveted locations in the city for Birmingham apartments. Find stylish one-, two-, and three-bedroom apartment floor plans tailored to your wants and needs, complete with the amenities that are important to you. Our layouts come with just enough variety to enable you to make it your own haven unlike any other. Get inspired by our photos and the serenity of the nature surrounding you to let your aesthetic come together with our stylish, modern designs for a home you wonât be able to wait to show off to your guests. Even beyond style, our pet-friendly apartment community is also all about functionality! Some of our homes come with washer and dryer hookups, wood burning fireplaces, hardwood floors, and a private patio or balcony. All of our residents can make use of oversized walk-in closets, air conditioning, garages, a business center, on-site management and maintenance, a laundry facility, and more. Play a game or two of tennis at our tennis courts, take a dip in the pool at one of our pools, or try out the new grilling and picnic area! Make apartment life easier and take advantage of our online payment options, short term lease options, and valet trash services. Use our package receiving services for those out-of-town (or simply busy) days and know that we are here to support you and make your time in our pet-friendly apartment community a breeze. With charming homes and an alluring location near transportation options and shopping, dining, and entertainment hotspots, 100 Inverness Apartment Homes is an ideal place for anyone looking for the very best in a community that values each resident. Contact us or stop by to schedule a tour so you can learn more about our apartment community. We look forward to meeting you!  -Patio -Accepts Electronic Payments -Individual Climate Control -Valet Trash Service  $25.00 -Wood Burning Fireplaces In Select Units -Tennis Courts -Washer/ Dryer Hookup (Select Units) -Heat  Call:  show contact info   BUS TRANSIT AVAILABLE, OAK MOUNTAIN SCHOOL DISTRICT THAT INCLUDE (INVERNESS ELEMENTARY AND MIDDLE), TWO SPARKLING SWIMMING POOLS, BARK PARK, EASY 459 ACCESS, PET GROOMING LESS THAN 5 MINUTES AWAY, 110 ACRE STOCKED FISHING LAKE, FISHING AND BOATING PERMIT AVAILABLE ON SITE, LAKE AND WOODED VIEWS, URGENT CARES NEARBY, KAYAK STORAGE ON SITE, ST VINCENT HOSPITAL, ADJACENT TO 280, SHOPPING AND DINING LESS THAN 5 MINUTES AWAY, JEFF STATE COLLEGE LESS THAN 10 MINUTES AWAY",33.4226,-86.7065,al
7041966702,https://bham.craigslist.org/apa/d/birmingham-2-tennis-courts-at-100/7041966702.html,birmingham,https://bham.craigslist.org,925,apartment,1350,2,2,1,1,1,0,0,0,laundry on site,street parking,https://images.craigslist.org/00505_cAu36QXQV4h_600x450.jpg,"Apartments In Birmingham AL Welcome to 100 Inverness Apartment Homes, a luxury apartment community tucked away into one of the most coveted locations in the city for Birmingham apartments. Find stylish one-, two-, and three-bedroom apartment floor plans tailored to your wants and needs, complete with the amenities that are important to you. Our layouts come with just enough variety to enable you to make it your own haven unlike any other. Get inspired by our photos and the serenity of the nature surrounding you to let your aesthetic come together with our stylish, modern designs for a home you wonât be able to wait to show off to your guests. Even beyond style, our pet-friendly apartment community is also all about functionality! Some of our homes come with washer and dryer hookups, wood burning fireplaces, hardwood floors, and a private patio or balcony. All of our residents can make use of oversized walk-in closets, air conditioning, garages, a business center, on-site management and maintenance, a laundry facility, and more. Play a game or two of tennis at our tennis courts, take a dip in the pool at one of our pools, or try out the new grilling and picnic area! Make apartment life easier and take advantage of our online payment options, short term lease options, and valet trash services. Use our package receiving services for those out-of-town (or simply busy) days and know that we are here to support you and make your time in our pet-friendly apartment community a breeze. With charming homes and an alluring location near transportation options and shopping, dining, and entertainment hotspots, 100 Inverness Apartment Homes is an ideal place for anyone looking for the very best in a community that values each resident. Contact us or stop by to schedule a tour so you can learn more about our apartment community. We look forward to meeting you!  -Cable Ready -Faux Hardwood Flooring -Canoe Storage -Accepts Credit Card Payments -On-Site Maintenance -Wood Burning Fireplaces In Select Units -Valet Trash Service  $25.00 -Spacious Floor Plans  Call:  show contact info   EASY 459 ACCESS, NEARBY CITIES HOOVER, CHELSEA,CALERA, PELHAM, BEAUTIFULLY  UPDATED CLUB HOUSE, JEFF STATE COLLEGE LESS THAN 10 MINUTES AWAY, GRANDVIEW HOSPITAL, HOMEDEPOT, MODERN LAUNDRY FACILITIES, SPAIN PARK, KAYAK STORAGE ON SITE, PET FRIENDLY, YMCA, BARK PARK, URGENT CARES NEARBY, FISHING AND BOATING PERMIT AVAILABLE ON SITE, ADJACENT TO 280",33.4226,-86.7065,al
7041964186,https://bham.craigslist.org/apa/d/calera-st-ave-calera-al/7041964186.html,birmingham,https://bham.craigslist.org,1085,house,2308,3,2,1,1,0,0,0,0,w/d hookups,,https://images.craigslist.org/00D0D_g4BE3jPMBry_600x450.jpg,"This is a NEW and LARGE 3BR, 2BTH renovation in hot, hot Calera that won't last long. If you need or want space this is the house. Huge living room with working wet bar, large kitchen,with Kitchen Appliances Provided, large master BR and bath with double vanity, large closet, large shed, side and back patio and more. MUST SEE! Call us today!!  show contact info !",33.0969,-86.7601,al
7041960353,https://bham.craigslist.org/apa/d/birmingham-new-washer-and-dryers-in/7041960353.html,birmingham,https://bham.craigslist.org,1269,apartment,1156,3,2,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00a0a_lTBiptw032q_600x450.jpg,Perfect Location and a Perfect Price!!!  Come Apply Today and Reserve Your New Home With Us!!!  - Private Patios or Balconies - French Doors and new energy efficient windows - 6 Panel Interior Doors - New stainless kitchen appliances including microwaves - Open concept eat in breakfast bar off dining room - Washer and dryer connections in one bedroom homes - Granite counters in kitchen and bath - Vinyl plank style flooring - Beautiful new cabinetry - Spacious walk-in closets  Community Amenities - Impressive Views - Sparkling pool with new furniture and covered cabana area - 24-hour Fitness Center - Grilling Pavilion - NEW 24 Hour Fitness Center  ~ Pet-Friendly. No Weight Limit. No Monthly Pet Rent. ~ 24/7 Emergency Maintenance,33.4237,-86.8015,al
7041959413,https://bham.craigslist.org/apa/d/birmingham-amazing-holiday-deals-just/7041959413.html,birmingham,https://bham.craigslist.org,799,apartment,703,1,1,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00707_9dHoTSYoQnk_600x450.jpg,"HWY 31 and I-65 access for easy commute! Be Downtown in less than 10 minutes! I-459 and Hwy 280 just minutes away! Close to UAB and Samford.  MarQ Vestavia Apartments in Vestavia Hills, Alabama is newly renovated as of January 2019! At MarQ Vestavia, you'll be just minutes from local restaurants and exciting shopping. Be close to everything!  Features - 1-3 Bedrooms - 1-2 Bathrooms - Private Patios or Balconies - French Doors and new energy efficient windows - 6 Panel Interior Doors - New stainless kitchen appliances including microwaves - Open concept eat in breakfast bar off dining room - Washer and dryer connections in one bedroom homes - Granite counters in kitchen and bath - Vinyl plank style flooring - Beautiful new cabinetry - Spacious walk-in closets  Community Amenities - Impressive Views - Sparkling pool with new furniture and covered cabana area - 24-hour Fitness Center - Grilling Pavilion - NEW 24 Hour Fitness Center  ~ Pet-Friendly. No Weight Limit. No Monthly Pet Rent. ~ 24/7 Emergency Maintenance",33.4237,-86.8015,al
